"rt","stimulus","key_press","part","color","size","pitch","congruency","trial_type","trial_index","time_elapsed","internal_node_id","subject","version","accuracy"
"474.7300000017276","sounds/440Hz100ms.wav","83","test","grey","small","low","i","audio-keyboard-response","3","33963","0.0-2.0-0.0-1.0","t7o9","auditory","true"
"428.7099999928614","sounds/2420Hz100ms.wav","83","test","grey","small","high","c","audio-keyboard-response","5","34896","0.0-2.0-0.0-1.1","t7o9","auditory","true"
"451.6949999961071","sounds/440Hz100ms.wav","76","test","grey","large","low","c","audio-keyboard-response","7","35852","0.0-2.0-0.0-1.2","t7o9","auditory","true"
"375.76999999873806","sounds/2420Hz100ms.wav","76","test","grey","large","high","i","audio-keyboard-response","9","36730","0.0-2.0-0.0-1.3","t7o9","auditory","true"
"473.8199999992503","sounds/2420Hz100ms.wav","83","test","grey","small","high","c","audio-keyboard-response","11","37708","0.0-2.0-0.0-1.4","t7o9","auditory","true"
"1238.3450000052107","sounds/440Hz100ms.wav","76","test","grey","large","low","c","audio-keyboard-response","13","39452","0.0-2.0-0.0-1.5","t7o9","auditory","true"
"418.9500000065891","sounds/440Hz100ms.wav","83","test","grey","small","low","i","audio-keyboard-response","15","40375","0.0-2.0-0.0-1.6","t7o9","auditory","true"
"420.91999998956453","sounds/2420Hz100ms.wav","76","test","grey","large","high","i","audio-keyboard-response","17","41297","0.0-2.0-0.0-1.7","t7o9","auditory","true"
"352.49999999359716","sounds/440Hz100ms.wav","76","test","grey","large","low","c","audio-keyboard-response","19","42153","0.0-2.0-0.0-1.8","t7o9","auditory","true"
"421.5750000003027","sounds/2420Hz100ms.wav","83","test","grey","small","high","c","audio-keyboard-response","21","43076","0.0-2.0-0.0-1.9","t7o9","auditory","true"
"350.92500000610016","sounds/440Hz100ms.wav","83","test","grey","small","low","i","audio-keyboard-response","23","43930","0.0-2.0-0.0-1.10","t7o9","auditory","true"
"395.5149999965215","sounds/2420Hz100ms.wav","76","test","grey","large","high","i","audio-keyboard-response","25","44830","0.0-2.0-0.0-1.11","t7o9","auditory","true"
"429.94000000180677","sounds/440Hz100ms.wav","76","test","grey","large","low","c","audio-keyboard-response","27","45764","0.0-2.0-0.0-1.12","t7o9","auditory","true"
"451.13999999011867","sounds/440Hz100ms.wav","83","test","grey","small","low","i","audio-keyboard-response","29","46720","0.0-2.0-0.0-1.13","t7o9","auditory","true"
"407.2849999938626","sounds/2420Hz100ms.wav","76","test","grey","large","high","i","audio-keyboard-response","31","47631","0.0-2.0-0.0-1.14","t7o9","auditory","true"
"452.1850000019185","sounds/2420Hz100ms.wav","83","test","grey","small","high","c","audio-keyboard-response","33","48587","0.0-2.0-0.0-1.15","t7o9","auditory","true"
"386.3149999961024","sounds/440Hz100ms.wav","76","test","grey","large","low","c","audio-keyboard-response","36","53212","0.0-2.0-0.1-1.16","t7o9","auditory","true"
"440.1999999972759","sounds/2420Hz100ms.wav","83","test","grey","small","high","c","audio-keyboard-response","38","54157","0.0-2.0-0.1-1.17","t7o9","auditory","true"
"319.21000000147615","sounds/2420Hz100ms.wav","76","test","grey","large","high","i","audio-keyboard-response","40","54977","0.0-2.0-0.1-1.18","t7o9","auditory","true"
"385.44999998703133","sounds/440Hz100ms.wav","83","test","grey","small","low","i","audio-keyboard-response","42","55866","0.0-2.0-0.1-1.19","t7o9","auditory","true"
"284.5300000044517","sounds/2420Hz100ms.wav","76","test","grey","large","high","i","audio-keyboard-response","44","56654","0.0-2.0-0.1-1.20","t7o9","auditory","true"
"454.85999999800697","sounds/2420Hz100ms.wav","83","test","grey","small","high","c","audio-keyboard-response","46","57610","0.0-2.0-0.1-1.21","t7o9","auditory","true"
"499.30000001040753","sounds/440Hz100ms.wav","83","test","grey","small","low","i","audio-keyboard-response","48","58611","0.0-2.0-0.1-1.22","t7o9","auditory","true"
"419.10499999357853","sounds/440Hz100ms.wav","76","test","grey","large","low","c","audio-keyboard-response","50","59534","0.0-2.0-0.1-1.23","t7o9","auditory","true"
"362.0599999994738","sounds/2420Hz100ms.wav","83","test","grey","small","high","c","audio-keyboard-response","52","60400","0.0-2.0-0.1-1.24","t7o9","auditory","true"
"341.27499999885913","sounds/440Hz100ms.wav","76","test","grey","large","low","c","audio-keyboard-response","54","61244","0.0-2.0-0.1-1.25","t7o9","auditory","true"
"350.2450000087265","sounds/2420Hz100ms.wav","83","test","grey","large","high","i","audio-keyboard-response","56","62099","0.0-2.0-0.1-1.26","t7o9","auditory","false"
"350.1749999995809","sounds/440Hz100ms.wav","83","test","grey","small","low","i","audio-keyboard-response","58","62954","0.0-2.0-0.1-1.27","t7o9","auditory","true"
"412.0100000000093","sounds/440Hz100ms.wav","76","test","grey","large","low","c","audio-keyboard-response","60","63869","0.0-2.0-0.1-1.28","t7o9","auditory","true"
"315.4599999979837","sounds/2420Hz100ms.wav","76","test","grey","large","high","i","audio-keyboard-response","62","64686","0.0-2.0-0.1-1.29","t7o9","auditory","true"
"373.6100000096485","sounds/440Hz100ms.wav","83","test","grey","small","low","i","audio-keyboard-response","64","65564","0.0-2.0-0.1-1.30","t7o9","auditory","true"
"497.9400000011083","sounds/2420Hz100ms.wav","83","test","grey","small","high","c","audio-keyboard-response","66","66565","0.0-2.0-0.1-1.31","t7o9","auditory","true"
